Host Listings Count;Host Total Listings Count;Accommodates;Bathrooms;Bedrooms;Beds;Price;Weekly Price;Monthly Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Availability 365;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Location;Calculated host listings count;Host Since in Days;Entire home/apt;Private room
14.0;14.0;2;1.0;0.0;1.0;41.0;220.0;;;;1;0;73;95.0;10.0;10.0;10.0;12;501;1;0
2.0;2.0;5;1.0;2.0;2.0;54.0;;1250.0;;;2;13;328;88.0;9.0;9.0;10.0;2;617;1;0
8.0;8.0;4;1.0;1.0;2.0;60.0;510.0;;150.0;30.0;2;30;275;99.0;10.0;10.0;10.0;8;1671;1;0
1.0;1.0;4;1.0;2.0;2.0;80.0;;;150.0;30.0;2;10;281;97.0;10.0;10.0;10.0;1;389;1;0
2.0;2.0;1;1.0;1.0;1.0;50.0;300.0;1125.0;;5.0;1;0;365;94.0;10.0;9.0;10.0;2;762;0;1
4.0;4.0;2;1.0;1.0;1.0;75.0;;;100.0;30.0;1;0;304;94.0;10.0;10.0;10.0;4;948;1;0
7.0;7.0;1;1.0;1.0;1.0;20.0;110.0;410.0;;10.0;1;0;16;93.0;10.0;9.0;10.0;7;974;0;1
1.0;1.0;2;1.0;1.0;1.0;19.0;;;;;1;10;354;87.0;8.0;9.0;10.0;1;245;0;1
2.0;2.0;1;1.0;1.0;1.0;18.0;;;95.0;15.0;1;10;34;;;;;2;91;0;1
3.0;3.0;4;1.0;1.0;2.0;65.0;;;200.0;30.0;1;0;120;97.0;10.0;10.0;10.0;3;555;1;0
164.0;164.0;4;1.0;0.0;1.0;90.0;;;200.0;40.0;2;10;328;60.0;10.0;10.0;8.0;145;932;1;0
3.0;3.0;4;1.0;1.0;2.0;69.0;;;299.0;59.0;2;19;318;97.0;9.0;10.0;10.0;3;135;1;0
2.0;2.0;3;1.0;1.0;2.0;60.0;;;;7.0;1;0;323;86.0;9.0;8.0;10.0;2;460;1;0
2.0;2.0;4;1.0;2.0;2.0;95.0;;;;;1;0;334;91.0;9.0;9.0;10.0;2;235;1;0
1.0;1.0;7;3.0;4.0;5.0;270.0;;;500.0;50.0;5;30;85;97.0;10.0;9.0;10.0;1;167;1;0
1.0;1.0;1;1.0;4.0;3.0;95.0;600.0;1100.0;150.0;;1;0;311;90.0;8.0;9.0;10.0;1;1018;0;1
1.0;1.0;3;1.0;1.0;2.0;40.0;;;;25.0;2;15;97;97.0;10.0;10.0;9.0;1;270;1;0
2.0;2.0;2;1.0;1.0;1.0;55.0;;;;10.0;1;0;58;92.0;10.0;10.0;9.0;2;563;1;0
2.0;2.0;2;1.0;1.0;1.0;110.0;715.0;1700.0;;;1;0;290;93.0;10.0;9.0;10.0;2;1210;1;0
4.0;4.0;3;1.0;0.0;2.0;40.0;;;100.0;20.0;2;5;293;89.0;10.0;9.0;10.0;4;256;1;0
1.0;1.0;2;1.0;1.0;1.0;35.0;;;;20.0;1;10;178;;;;;1;241;0;1
1.0;1.0;2;1.0;1.0;1.0;28.0;180.0;550.0;;10.0;1;15;0;95.0;10.0;10.0;9.0;1;1046;0;1
2.0;2.0;2;1.0;;1.0;40.0;260.0;900.0;;;1;0;299;83.0;9.0;8.0;9.0;2;1537;1;0
1.0;1.0;2;1.0;2.0;2.0;59.0;300.0;1000.0;;25.0;1;0;323;87.0;9.0;10.0;9.0;1;768;1;0
3.0;3.0;2;0.0;1.0;2.0;22.0;;;100.0;;1;10;288;95.0;10.0;10.0;10.0;3;151;0;1
1.0;1.0;2;2.0;1.0;1.0;25.0;;;;;1;0;8;81.0;9.0;7.0;10.0;1;215;0;1
2.0;2.0;3;1.0;2.0;2.0;40.0;;;;;1;0;358;;;;;1;255;0;1
