Host Listings Count;Host Total Listings Count;Accommodates;Bathrooms;Bedrooms;Beds;Price;Weekly Price;Monthly Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Availability 365;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Location;Calculated host listings count;Host Since in Days;Entire home/apt;Private room
1.0;1.0;5.999999999999999;2.0;2.0;4.0;120.0;737.9999999999999;2572.0;399.99999999999994;65.0;4.0;10.0;196.0;87.0;9.0;10.0;9.0;1.0;1085.0;1.0;0.0
9.0;9.0;4.0;2.0;1.0;4.0;58.0;172.00000000000003;540.0;115.0;10.0;1.0;0.0;247.0;89.0;9.0;9.0;10.0;9.0;2028.0000000000002;0.0;1.0
10.0;10.0;4.0;1.0;0.0;2.0;47.0;300.0;1200.0;110.0;20.0;2.0;8.0;329.0;92.0;9.0;9.0;10.0;10.000000000000002;764.9999999999999;1.0;0.0
9.0;9.0;2.0;1.0;1.0;2.0;45.0;373.99999999999994;1155.6000000000001;150.0;15.0;1.0;8.0;138.0;95.0;10.0;10.0;10.0;6.999999999999999;1067.0;1.0;0.0
1.0;1.0;2.0;1.0;1.0;2.0;59.0;204.6;756.0;210.0;15.0;2.0;6.964;57.0;100.0;10.0;10.0;10.0;1.0;328.0;0.0;1.0
2.0;2.0;2.0;1.0;1.0;1.0;21.0;166.0;497.99999999999994;120.0;9.0;1.0;0.0;140.0;79.0;9.0;8.0;8.0;2.0;552.0;0.0;1.0
2.0;2.0;2.0;1.0;1.0;1.0;65.0;315.0;1059.8;111.0;25.0;1.0;0.0;98.0;92.10447761194028;9.2;9.2;9.8;2.0;977.0;1.0;0.0
1.0;1.0;2.0;1.0;1.0;1.0;35.0;181.6;693.9999999999999;110.0;11.799999999999999;1.0;10.0;345.0;92.0;10.0;8.0;10.0;1.0;966.0;0.0;1.0
1.0;1.0;2.0;1.0;1.0;1.0;29.000000000000004;354.2;1156.0;199.99999999999997;20.6;1.0;0.0;0.0;100.0;10.0;8.0;10.0;1.0;334.0;1.0;0.0
1.0;1.0;4.0;1.0;1.0;2.0;100.0;365.99999999999994;1700.0;150.0;40.0;1.0;5.0;339.0;100.0;10.0;10.0;10.0;1.0;379.0;1.0;0.0
1.0;1.0;2.9999999999999996;1.0;1.0;2.0;80.0;343.0;935.4;154.0;23.0;1.0;0.0;0.0;92.10447761194028;9.2;9.2;9.8;1.0;334.0;1.0;0.0
2.0;2.0;2.9999999999999996;1.0;1.0;2.0;58.0;365.0;1500.0;145.0;24.0;2.0;12.0;300.0;98.0;10.0;10.0;10.0;2.0;2026.9999999999998;1.0;0.0
4.0;4.0;2.0;1.0;1.0;1.0;75.0;451.8;1270.2;300.0;30.0;1.0;0.0;176.0;92.10447761194028;9.2;9.2;9.8;3.0;1457.0;1.0;0.0
57.0;57.0;4.0;1.0;1.0;1.0;59.0;391.8;1330.0;99.99999999999999;30.0;1.0;10.0;334.0;80.0;10.0;7.0;10.0;48.0;787.9999999999999;1.0;0.0
4.0;4.0;1.0;1.5;1.0;1.0;13.0;197.60000000000002;533.4;96.0;10.200000000000001;1.0;0.0;184.0;92.10447761194028;9.2;9.2;9.8;4.0;75.0;0.0;1.0
1.0;1.0;2.0;1.0;1.0;1.0;45.0;262.0;892.0;99.99999999999999;13.0;1.0;15.0;364.0;95.0;10.0;9.0;10.0;1.0;1944.0;0.0;1.0
207.0;207.0;4.0;1.0;0.0;1.0;112.0;317.00000000000006;1140.0;116.0;30.999999999999996;1.0;0.0;0.0;92.10447761194028;9.2;9.2;9.8;67.0;452.00000000000006;1.0;0.0
2.0;2.0;2.0;1.5;1.0;1.0;34.0;293.0;990.8;199.99999999999997;22.6;1.0;0.0;81.0;96.00000000000001;10.0;10.0;10.0;2.0;1529.9999999999998;0.0;1.0
1.0;1.0;4.0;1.0;2.0;2.0;110.0;469.8;1220.6000000000001;210.0;20.0;1.0;0.0;119.99999999999999;92.10447761194028;9.2;9.2;9.8;1.0;1209.0;1.0;0.0
4.0;4.0;1.0;3.0;1.0;1.0;27.0;197.60000000000002;533.4;99.99999999999999;5.0;1.0;0.0;126.00000000000001;90.0;10.0;10.0;10.0;4.0;263.0;0.0;1.0
1.0;1.0;2.0;1.0;1.0;2.0;53.0;340.0;1221.0;99.99999999999999;38.0;1.0;10.0;124.99999999999999;98.0;10.0;10.0;10.0;1.0;538.0;1.0;0.0
1.0;1.0;4.0;1.0;1.0;2.0;45.0;365.99999999999994;1315.9999999999998;174.2;25.0;2.0;7.000000000000001;137.0;97.0;10.0;10.0;10.0;1.0;94.0;1.0;0.0
